date,game_type,team,conference,opponent,location,win_loss,record,team_score,opp_score,team_adjoe,team_adjde,team_eff,team_efg_pct,team_to_pct,team_or_pct,team_ftr,team_def_eff,team_def_efg_pct,team_def_to_pct,team_def_or_pct,team_def_ftr,team_g_sc,opp_conference,team_fgm,team_fga,team_2pm,team_2pa,team_3pm,team_3pa,team_ftm,team_fta,team_oreb,team_dreb,team_treb,team_ast,team_to,team_stl,team_blk,team_pf,opp_fgm,opp_fga,opp_2pm,opp_2pa,opp_3pm,opp_3pa,opp_ftm,opp_fta,opp_oreb,opp_dreb,opp_treb,opp_ast,opp_to,opp_stl,opp_blk,opp_pf,team_coach,opp_coach,plus_minus,ot
2024-11-06,Regular Season Non-Conference,Auburn,SEC,Vermont,H,1,1-0,94,43,128.9,73.6,134.8,68.8,12.9,27.6,17.2,61.7,30.2,22.9,22.2,19.0,99.8,AE,36,64,20,29,16,35,6,11,8,35,43,15,9,10,7,15,15,58,10,35,5,23,8,11,10,21,31,6,16,6,3,10,Bruce Pearl,John Becker,21.288,0
2024-11-09,Regular Season Non-Conference,Auburn,SEC,Houston,N,1,2-0,74,69,141.9,97.2,118.9,59.8,19.3,37.9,37.3,110.9,45.7,16.1,40.5,37.9,98.7,B12,24,58,19,45,5,13,16,22,15,18,33,7,10,5,3,20,27,51,20,28,7,23,13,19,11,22,33,14,12,6,7,21,Bruce Pearl,Kelvin Sampson,-1.37125,0
2024-11-13,Regular Season Non-Conference,Auburn,SEC,Kent St.,H,1,3-0,79,56,127.6,91.3,124.8,54.4,9.5,34.4,38.6,88.5,36.9,12.6,28.6,24.6,97.9,MAC,28,57,22,33,6,24,17,22,11,30,41,23,6,3,6,12,20,61,15,40,5,21,11,15,12,21,33,5,8,5,0,19,Bruce Pearl,Rob Senderoff,11.8963,0
2024-11-18,Regular Season Non-Conference,Auburn,SEC,North Alabama,H,1,4-0,102,69,129.5,96.5,137.6,71.4,14.8,30.8,27.0,93.1,46.1,17.5,22.9,17.2,96.7,ASun,39,63,27,36,12,27,12,17,8,27,35,25,11,6,6,12,27,64,22,49,5,15,10,11,8,18,26,5,13,8,0,14,Bruce Pearl,Tony Pujol,10.3067,0
2024-11-25,Regular Season Non-Conference,Auburn,SEC,Iowa St.,N,1,5-0,83,81,130.3,104.3,116.7,55.1,16.9,31.2,37.3,113.9,53.8,12.7,16.7,54.7,92.8,B12,25,53,18,35,7,18,24,29,5,22,27,12,9,9,0,18,28,59,19,32,9,27,18,22,10,25,35,14,12,7,4,23,Bruce Pearl,T.J. Otzelberger,-6.25375,0
2024-11-26,Regular Season Non-Conference,Auburn,SEC,North Carolina,N,1,6-0,85,72,124.3,85.6,114.8,51.4,10.8,27.5,24.6,97.2,48.4,13.5,18.4,30.6,98.6,ACC,27,62,21,46,6,16,12,19,7,29,36,7,10,3,2,16,30,69,19,39,11,30,14,17,11,31,42,15,8,7,7,22,Bruce Pearl,Hubert Davis,10.3917,0
2024-11-27,Regular Season Non-Conference,Auburn,SEC,Memphis,N,1,7-0,90,76,147.6,104.8,134.2,63.3,13.4,37.9,28.3,113.3,55.4,16.4,27.6,33.9,98.1,Amer,28,56,22,47,6,9,14,19,8,18,26,7,11,3,0,17,34,60,26,36,8,24,14,17,11,21,32,23,9,6,5,17,Bruce Pearl,Penny Hardaway,13.2791,0
2024-12-04,Regular Season Non-Conference,Auburn,SEC,Duke,A,0,7-1,78,84,147.5,106.9,124.3,53.1,12.7,40.5,18.8,133.8,57.8,6.4,33.3,46.6,97.6,ACC,29,58,20,36,9,22,17,27,12,22,34,11,4,7,4,14,29,64,19,39,10,25,10,12,15,24,39,17,8,4,3,20,Bruce Pearl,Jon Scheyer,-1.88625,0
2024-12-08,Regular Season Non-Conference,Auburn,SEC,Richmond,H,1,8-1,98,54,124.4,81.8,133.5,57.2,9.5,41.7,39.1,73.5,32.2,20.4,22.7,32.2,99.2,A10,33,69,20,39,13,30,19,27,15,34,49,23,7,10,5,14,16,59,10,29,6,30,16,19,10,21,31,8,15,7,3,17,Bruce Pearl,Chris Mooney,19.0714,0
2024-12-14,Regular Season Non-Conference,Auburn,SEC,Ohio St.,N,1,9-1,91,53,145.7,76.5,139.3,54.9,7.7,41.0,19.4,81.1,41.2,12.2,13.2,37.3,99.9,B10,18,51,12,35,6,16,11,19,5,23,28,7,8,5,4,12,33,72,20,42,13,30,12,14,16,33,49,18,5,4,13,17,Bruce Pearl,Jake Diebler,18.6244,0
