from_odds_team_name,my_team_name
Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama St Hornets,Alabama St.
Albany Great Danes,Albany
Alcorn St Braves,Alcorn St.
American Eagles,American
Appalachian St Mountaineers,Appalachian St.
Arizona St Sun Devils,Arizona St.
Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas
Arkansas St Red Wolves,Arkansas St.
Arkansas-Little Rock Trojans,Little Rock
Arkansas-Pine Bluff Golden Lions,Arkansas Pine Bluff
Army Knights,Army
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
BYU Cougars,BYU
Ball State Cardinals,Ball St.
Baylor Bears,Baylor
Bellarmine Knights,Bellarmine
Belmont Bruins,Belmont
Bethune-Cookman Wildcats,Bethune Cookman
Binghamton Bearcats,Binghamton
Boise State Broncos,Boise St.
Boston College Eagles,Boston College
Boston Univ. Terriers,Boston University
Bowling Green Falcons,Bowling Green
Bradley Braves,Bradley
Brown Bears,Brown
Bryant Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
CSU Bakersfield Roadrunners,Cal St. Bakersfield
CSU Fullerton Titans,Cal St. Fullerton
CSU Northridge Matadors,Cal St. Northridge
Cal Baptist Lancers,Cal Baptist
Cal Poly Mustangs,Cal Poly
California Golden Bears,California
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Central Arkansas Bears,Central Arkansas
Central Connecticut St Blue Devils,Central Connecticut
Central Michigan Chippewas,Central Michigan
Charleston Cougars,Charleston
Charleston Southern Buccaneers,Charleston Southern
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago St Cougars,Chicago St.
Cincinnati Bearcats,Cincinnati
Clemson Tigers,Clemson
Cleveland St Vikings,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado St Rams,Colorado St.
Columbia Lions,Columbia
Coppin St Eagles,Coppin St.
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
DePaul Blue Demons,DePaul
Delaware Blue Hens,Delaware
Delaware St Hornets,Delaware St.
Denver Pioneers,Denver
Detroit Mercy Titans,Detroit Mercy
Drake Bulldogs,Drake
Drexel Dragons,Drexel
Duke Blue Devils,Duke
Duquesne Dukes,Duquesne
East Carolina Pirates,East Carolina
East Tennessee St Buccaneers,East Tennessee St.
Eastern Illinois Panthers,Eastern Illinois
Eastern Kentucky Colonels,Eastern Kentucky
Eastern Michigan Eagles,Eastern Michigan
Eastern Washington Eagles,Eastern Washington
Elon Phoenix,Elon
Evansville Purple Aces,Evansville
Fairfield Stags,Fairfield
Fairleigh Dickinson Knights,Fairleigh Dickinson
Florida A&M Rattlers,Florida A&M
Florida Atlantic Owls,Florida Atlantic
Florida Gators,Florida
Florida Gulf Coast Eagles,Florida Gulf Coast
Florida Int'l Golden Panthers,FIU
Florida St Seminoles,Florida St.
Fordham Rams,Fordham
Fort Wayne Mastodons,Purdue Fort Wayne
Fresno St Bulldogs,Fresno St.
Furman Paladins,Furman
GW Revolutionaries,George Washington
Gardner-Webb Bulldogs,Gardner Webb
George Mason Patriots,George Mason
Georgetown Hoyas,Georgetown
Georgia Bulldogs,Georgia
Georgia Southern Eagles,Georgia Southern
Georgia St Panthers,Georgia St.
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling St Tigers,Grambling St.
Grand Canyon Antelopes,Grand Canyon
Green Bay Phoenix,Green Bay
Hampton Pirates,Hampton
Hartford Hawks,Hartford
Harvard Crimson,Harvard
Hawai'i Rainbow Warriors,Hawaii
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Baptist Huskies,Houston Christian
Houston Christian Huskies,Houston Christian
Houston Cougars,Houston
Howard Bison,Howard
IUPUI Jaguars,IU Indy
Idaho State Bengals,Idaho St.
Idaho Vandals,Idaho
Illinois Fighting Illini,Illinois
Illinois St Redbirds,Illinois St.
Incarnate Word Cardinals,Incarnate Word
Indiana Hoosiers,Indiana
Indiana St Sycamores,Indiana St.
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
Iowa State Cyclones,Iowa St.
Jackson St Tigers,Jackson St.
Jacksonville Dolphins,Jacksonville
Jacksonville St Gamecocks,Jacksonville St.
James Madison Dukes,James Madison
Kansas Jayhawks,Kansas
Kansas St Wildcats,Kansas St.
Kennesaw St Owls,Kennesaw St.
Kent State Golden Flashes,Kent St.
Kentucky Wildcats,Kentucky
LIU Sharks,LIU
LSU Tigers,LSU
La Salle Explorers,La Salle
Lafayette Leopards,Lafayette
Lamar Cardinals,Lamar
Le Moyne Dolphins,Le Moyne
Lehigh Mountain Hawks,Lehigh
Liberty Flames,Liberty
Lindenwood Lions,Lindenwood
Lipscomb Bisons,Lipscomb
Long Beach St 49ers,Long Beach St.
Longwood Lancers,Longwood
Louisiana Ragin' Cajuns,Louisiana
Louisiana Tech Bulldogs,Louisiana Tech
Louisville Cardinals,Louisville
Loyola (Chi) Ramblers,Loyola Chicago
