iter	MAE
0	14.45657567
1	14.26605366
2	14.09244233
3	13.94776729
4	13.82417917
5	13.71290736
6	13.61158791
7	13.532864
8	13.46309925
9	13.39560022
10	13.33489887
11	13.28745584
12	13.24079029
13	13.20470983
14	13.17348253
15	13.14254158
16	13.11466284
17	13.09169155
18	13.07154569
19	13.05408889
20	13.03678285
21	13.02175114
22	13.01247164
23	12.99920957
24	12.98839736
25	12.97788077
26	12.97215748
27	12.96477401
28	12.95475839
29	12.94684803
30	12.94219277
31	12.93390835
32	12.92868327
33	12.9248514
34	12.91804925
35	12.91334142
36	12.90869886
37	12.90533667
38	12.90240578
39	12.8998729
40	12.89713136
41	12.89506513
42	12.89323047
43	12.89054453
44	12.88834737
45	12.88603066
46	12.88285851
47	12.87909284
48	12.87637022
49	12.87336935
50	12.87124995
51	12.86925428
52	12.8663838
53	12.86442705
54	12.86258645
55	12.8610317
56	12.85886729
57	12.85611965
58	12.85455826
59	12.85213322
60	12.85057812
61	12.84882053
62	12.84709167
63	12.84567065
64	12.84365915
65	12.84166434
66	12.83990156
67	12.83708586
68	12.83527439
69	12.83375704
70	12.83142907
71	12.830231
72	12.82858977
73	12.8255147
74	12.82402744
75	12.82307667
76	12.82148694
77	12.82081259
78	12.81924797
79	12.81797621
80	12.81609638
81	12.81376352
82	12.81271974
83	12.81182717
84	12.80999855
85	12.80766729
86	12.80548804
87	12.80375574
88	12.80214321
89	12.7999279
90	12.79865568
91	12.79700161
92	12.79600581
93	12.79370264
94	12.79159434
95	12.79013958
96	12.78909765
97	12.78757612
98	12.78546039
99	12.78426322
100	12.78368711
101	12.78226771
102	12.78032955
103	12.77894536
104	12.77757113
105	12.77624669
106	12.77425508
107	12.77254295
108	12.77131798
109	12.77002535
110	12.76787031
111	12.76592356
112	12.76432049
113	12.76304257
114	12.76133253
115	12.76001633
116	12.75776457
117	12.75641589
118	12.75500014
119	12.75427249
120	12.75238993
121	12.75055055
122	12.74908911
123	12.74729657
124	12.74534786
125	12.7442728
126	12.7427935
127	12.73942865
128	12.73845089
129	12.73732906
130	12.73563984
131	12.73397123
132	12.73252705
133	12.7299835
134	12.72851131
135	12.72684899
136	12.72399483
137	12.72290813
138	12.71991739
139	12.71741973
140	12.71536027
141	12.71271162
142	12.71037087
143	12.70775111
144	12.70583332
145	12.70326467
146	12.70107078
147	12.69872802
148	12.69733863
149	12.69576965
150	12.69282633
151	12.69029555
152	12.68864907
153	12.68714033
154	12.68503284
155	12.68317503
156	12.68214869
157	12.67949428
158	12.67645501
159	12.67435778
160	12.67202333
161	12.67094182
162	12.66800895
163	12.66704323
164	12.66406016
165	12.66188927
166	12.65975986
167	12.65693131
168	12.6549859
169	12.65306378
170	12.65057352
171	12.64831427
172	12.64591357
173	12.64443144
174	12.64250378
175	12.64023304
176	12.6382213
177	12.63694396
178	12.63463982
179	12.63263741
180	12.6306392
181	12.62693068
182	12.62489055
183	12.62299293
184	12.61995475
185	12.6182459
186	12.61563184
187	12.61337707
188	12.61091082
189	12.60911128
190	12.60655411
191	12.60428977
192	12.60204411
193	12.60085556
194	12.59843731
195	12.5960569
196	12.59501968
197	12.59153049
198	12.58950735
199	12.58715471
200	12.5850009
201	12.5823488
202	12.58025678
203	12.57791422
204	12.5767442
205	12.57393144
206	12.57204627
207	12.57049728
208	12.568582
209	12.56680107
210	12.56581732
211	12.5631555
212	12.56072679
213	12.55854748
214	12.55661903
215	12.55489221
216	12.55302159
217	12.5513807
218	12.54937203
219	12.54619912
220	12.54414962
221	12.54169725
222	12.53945255
223	12.53862056
224	12.53788811
225	12.5361742
226	12.53392142
227	12.53275361
228	12.53097517
229	12.53003966
230	12.52815402
231	12.52565398
232	12.52350299
233	12.52138951
234	12.51846019
235	12.51709037
236	12.51629959
237	12.51406916
