iter	Passed	Remaining
0	143	33964
1	148	17496
2	153	12019
3	158	9293
4	163	7636
5	168	6526
6	200	6618
7	208	5995
8	213	5430
9	218	4986
10	223	4615
11	228	4302
12	233	4049
13	245	3932
14	253	3761
15	257	3576
16	262	3414
17	267	3268
18	272	3136
19	276	3018
20	291	3017
21	299	2939
22	304	2846
23	309	2761
24	315	2686
25	320	2616
26	326	2549
27	340	2553
28	355	2558
29	359	2495
30	365	2439
31	370	2385
32	375	2333
33	380	2285
34	386	2241
35	398	2238
36	406	2206
37	411	2163
38	416	2124
39	421	2086
40	426	2048
41	432	2016
42	437	1983
43	444	1959
44	452	1940
45	457	1908
46	461	1877
47	466	1847
48	471	1818
49	476	1791
50	493	1808
51	500	1791
52	506	1767
53	511	1743
54	516	1718
55	521	1693
56	526	1671
57	531	1649
58	538	1634
59	546	1622
60	551	1600
61	556	1581
62	562	1561
63	567	1543
64	572	1524
65	581	1515
66	589	1504
67	594	1486
68	599	1467
69	603	1449
70	608	1431
71	613	1415
72	619	1399
73	630	1398
74	638	1387
75	643	1371
76	648	1355
77	653	1339
78	658	1324
79	663	1309
80	667	1294
81	676	1286
82	683	1276
83	688	1262
84	693	1248
85	698	1234
86	703	1220
87	708	1207
88	721	1207
89	728	1198
90	733	1184
91	738	1172
92	743	1159
93	748	1146
94	753	1134
95	766	1133
96	783	1138
97	787	1125
98	792	1112
99	797	1100
100	802	1088
101	807	1076
102	828	1085
103	846	1091
104	851	1078
105	855	1065
106	860	1053
107	865	1041
108	871	1030
109	890	1036
110	898	1027
111	903	1016
112	908	1005
113	913	993
114	918	981
115	923	971
116	936	968
117	944	960
118	948	948
119	953	937
120	958	926
121	962	915
122	967	904
123	980	901
124	988	893
125	993	882
126	998	872
127	1003	862
128	1008	851
129	1013	842
130	1027	838
131	1043	837
132	1048	827
133	1053	817
134	1058	807
135	1064	798
136	1069	788
137	1074	778
138	1086	774
139	1095	766
140	1100	756
141	1105	747
142	1111	738
143	1116	728
144	1121	719
145	1126	710
146	1134	702
147	1142	694
148	1148	685
149	1153	676
150	1158	667
151	1163	658
152	1168	649
153	1177	642
154	1185	634
155	1189	625
156	1194	616
157	1199	607
158	1204	598
159	1209	589
160	1222	584
161	1230	577
162	1235	568
163	1240	559
164	1245	550
165	1250	542
166	1255	533
167	1269	528
168	1276	521
169	1281	512
170	1285	503
171	1290	495
172	1295	486
173	1299	478
174	1304	469
175	1318	464
176	1326	457
177	1347	454
178	1351	445
179	1356	437
180	1360	428
181	1366	420
182	1378	414
183	1386	406
184	1391	398
185	1396	390
186	1401	382
187	1406	373
188	1410	365
189	1429	361
190	1447	356
191	1452	347
192	1456	339
193	1460	331
194	1465	323
195	1469	314
196	1489	310
197	1497	302
198	1501	294
199	1506	286
200	1511	278
201	1516	270
202	1521	262
203	1536	256
204	1544	248
205	1549	240
206	1554	232
207	1559	224
208	1563	216
209	1569	209
210	1583	202
211	1599	196
212	1603	188
213	1608	180
214	1614	172
215	1619	164
216	1623	157
217	1643	150
218	1651	143
219	1656	135
220	1662	127
221	1667	120
222	1672	112
223	1676	104
224	1689	97
225	1697	90
226	1701	82
227	1706	74
228	1711	67
229	1716	59
230	1721	52
231	1732	44
232	1740	37
233	1745	29
234	1750	22
235	1756	14
236	1760	7
237	1779	0
