game_id,date,team_1,team_2,prediction,actual_total,sportsbook,bet_type,line,over_odds,under_odds,won,profit
20241206_Niagara_Siena,2024-12-06,Niagara,Siena,132.27411649133165,137,mybookie,OVER,129.0,-110.0,-110.0,True,9.090909090909093
20241207_Delaware St._Loyola MD,2024-12-07,Delaware St.,Loyola MD,142.61056524191952,157,mybookie,OVER,140.16666666666666,-110.0,-110.0,True,9.090909090909093
20241207_Liberty_Mississippi Valley St.,2024-12-07,Liberty,Mississippi Valley St.,127.89996520356048,141,mybookie,OVER,124.8,-107.2,-112.8,True,9.328358208955226
20241207_Utah St._Utah Tech,2024-12-07,Utah St.,Utah Tech,152.98382874588697,154,mybookie,OVER,150.08333333333334,-108.83333333333333,-110.5,True,9.188361408882084
20241208_Iowa St._Jackson St.,2024-12-08,Iowa St.,Jackson St.,146.82372050614475,158,mybookie,OVER,143.7,-112.0,-107.2,True,8.928571428571427
20241208_TCU_Vanderbilt,2024-12-08,TCU,Vanderbilt,152.37679569485002,157,mybookie,OVER,149.57142857142858,-110.0,-110.0,True,9.090909090909093
20241209_Indiana_Minnesota,2024-12-09,Indiana,Minnesota,142.6107228773238,149,mybookie,OVER,140.28571428571428,-110.0,-110.0,True,9.090909090909093
20241210_DePaul_Providence,2024-12-10,DePaul,Providence,141.73686571381052,133,mybookie,OVER,139.35714285714286,-110.0,-110.0,False,-10.0
20241211_Duquesne_Maine,2024-12-11,Duquesne,Maine,134.4635857700592,117,mybookie,OVER,131.83333333333334,-110.0,-110.0,False,-10.0
20241213_Boston University_Merrimack,2024-12-13,Boston University,Merrimack,128.96846511614078,125,mybookie,OVER,125.5,-110.0,-110.0,False,-10.0
20241214_Duquesne_Towson,2024-12-14,Duquesne,Towson,129.15228242546024,112,mybookie,OVER,126.5,-110.0,-110.0,False,-10.0
20241214_Kentucky_Louisville,2024-12-14,Kentucky,Louisville,162.54232751511793,178,bovada,OVER,159.21428571428572,-105.0,-115.0,True,9.523809523809522
20241214_Missouri St._Washington St.,2024-12-14,Missouri St.,Washington St.,145.21026968721574,169,mybookie,OVER,142.71428571428572,-110.0,-110.0,True,9.090909090909093
20241214_NJIT_Wagner,2024-12-14,NJIT,Wagner,122.50811289687387,93,mybookie,OVER,119.08333333333333,-110.0,-110.0,False,-10.0
20241215_Kent St._Mercyhurst,2024-12-15,Kent St.,Mercyhurst,131.0209904211062,139,bovada,OVER,127.5,-109.33333333333333,-110.0,True,9.146341463414632
20241217_Auburn_Georgia St.,2024-12-17,Auburn,Georgia St.,158.31194467285883,159,bovada,OVER,155.58333333333334,-110.0,-110.0,True,9.090909090909093
20241217_Ohio St._Valparaiso,2024-12-17,Ohio St.,Valparaiso,153.87920126655362,168,mybookie,OVER,150.92857142857142,-110.0,-110.0,True,9.090909090909093
20241217_Oregon St._Sacramento St.,2024-12-17,Oregon St.,Sacramento St.,133.38386458910483,127,mybookie,OVER,130.14285714285714,-110.0,-110.0,False,-10.0
20241217_Seton Hall_Villanova,2024-12-17,Seton Hall,Villanova,129.26124215751537,146,mybookie,OVER,126.92857142857143,-110.0,-110.0,True,9.090909090909093
20241218_LIU_Mount St. Mary's,2024-12-18,LIU,Mount St. Mary's,142.72718959275272,152,bovada,OVER,140.33333333333334,-108.5,-111.5,True,9.216589861751153
20241221_Houston_Texas A&M Corpus Chris,2024-12-21,Houston,Texas A&M Corpus Chris,136.43551255873197,138,mybookie,OVER,134.0,-109.66666666666667,-109.66666666666667,True,9.11854103343465
20241221_Mercer_Winthrop,2024-12-21,Mercer,Winthrop,161.63006387751378,199,mybookie,OVER,158.92857142857142,-110.0,-110.0,True,9.090909090909093
