bracket_name,my_team_name
Alabama,Alabama
Akron,Akron
Arizona,Arizona
Arkansas,Arkansas
BYU,BYU
Cal Baptist,Cal Baptist
Clemson,Clemson
Connecticut,Connecticut
Duke,Duke
Florida,Florida
Furman,Furman
Georgia,Georgia
Gonzaga,Gonzaga
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Howard,Howard
Houston,Houston
Idaho,Idaho
Illinois,Illinois
Iowa,Iowa
Iowa State,Iowa St.
Kansas,Kansas
Kentucky,Kentucky
Kennesaw State,Kennesaw St.
Lehigh,Lehigh
Long Island,LIU
Louisville,Louisville
McNeese,McNeese St.
Miami (FL),Miami FL
Miami (OH),Miami OH
Michigan,Michigan
Michigan State,Michigan St.
Missouri,Missouri
NC State,N.C. State
Nebraska,Nebraska
North Carolina,North Carolina
North Dakota State,North Dakota St.
Northern Iowa,Northern Iowa
Ohio State,Ohio St.
Penn,Penn
Prairie View A&M,Prairie View A&M
Purdue,Purdue
Queens (NC),Queens
Saint Louis,Saint Louis
Saint Mary's,Saint Mary's
Santa Clara,Santa Clara
Siena,Siena
SMU,SMU
South Florida,South Florida
St. John's,St. John's
TCU,TCU
Tennessee,Tennessee
Tennessee State,Tennessee St.
Texas,Texas
Texas A&M,Texas A&M
Texas Tech,Texas Tech
Troy,Troy
UCF,UCF
UCLA,UCLA
UConn,Connecticut
UMBC,UMBC
Utah State,Utah St.
VCU,VCU
Vanderbilt,Vanderbilt
Villanova,Villanova
Virginia,Virginia
Wisconsin,Wisconsin
Wright State,Wright St.
