iter	RMSE
0	18.25417926
1	17.99599227
2	17.78199968
3	17.57575624
4	17.41390085
5	17.27295626
6	17.16090438
7	17.06407825
8	16.97419829
9	16.89884638
10	16.84003278
11	16.79987917
12	16.7566633
13	16.7165864
14	16.69277485
15	16.66686187
16	16.63981932
17	16.61337316
18	16.59549714
19	16.58197525
20	16.57038613
21	16.55716603
22	16.54527972
23	16.52924131
24	16.51680749
25	16.50608591
26	16.4979035
27	16.48857165
28	16.4775098
29	16.46942014
30	16.46072865
31	16.45156447
32	16.44188338
33	16.43556119
34	16.4277757
35	16.4225368
36	16.41532038
37	16.4091203
38	16.40301645
39	16.39691656
40	16.39127684
41	16.38510141
42	16.37946412
43	16.37337204
44	16.36872051
45	16.36395532
46	16.35554971
47	16.3522192
48	16.34649532
49	16.34356853
50	16.33896755
51	16.33299635
52	16.32771554
53	16.32222436
54	16.31791181
55	16.31156837
56	16.30825002
57	16.30443921
58	16.30146949
59	16.294686
60	16.29069915
61	16.28581842
62	16.28133876
63	16.27865435
64	16.27491202
65	16.27204027
66	16.27024056
67	16.26491348
68	16.26000426
69	16.25505083
70	16.24974687
71	16.24336519
72	16.23805843
73	16.23208379
74	16.22579345
75	16.21825038
76	16.21491143
77	16.2075151
78	16.20317131
79	16.1993021
80	16.19495376
81	16.19084267
82	16.18587307
83	16.1793985
84	16.17440649
85	16.166346
86	16.16021436
87	16.15532657
88	16.14994496
89	16.14717207
90	16.14474623
91	16.14062428
92	16.13516161
93	16.13016376
94	16.12562882
95	16.12162681
96	16.11820398
97	16.1137517
98	16.10913032
99	16.10578306
