iter	Passed	Remaining
0	77	7636
1	93	4590
2	109	3552
3	126	3024
4	142	2714
5	157	2472
6	178	2371
7	195	2243
8	209	2114
9	227	2050
10	245	1987
11	263	1930
12	279	1870
13	294	1811
14	309	1751
15	326	1714
16	342	1674
17	358	1631
18	373	1594
19	391	1564
20	406	1527
21	426	1511
22	444	1486
23	467	1481
24	488	1466
25	511	1457
26	543	1469
27	561	1443
28	581	1423
29	603	1407
30	621	1383
31	639	1358
32	657	1334
33	674	1308
34	693	1287
35	710	1262
36	726	1237
37	745	1215
38	760	1189
39	779	1169
40	794	1142
41	809	1118
42	826	1095
43	845	1076
44	860	1052
45	878	1031
46	895	1009
47	914	991
48	938	976
49	955	955
50	974	936
51	991	915
52	1008	894
53	1030	877
54	1048	857
55	1065	837
56	1082	816
57	1098	795
58	1113	773
59	1136	757
60	1157	739
61	1177	721
62	1196	702
63	1217	684
64	1252	674
65	1272	655
66	1321	651
67	1345	633
68	1363	612
69	1387	594
70	1402	572
71	1427	554
72	1446	535
73	1466	515
74	1489	496
75	1506	475
76	1527	456
77	1545	435
78	1562	415
79	1578	394
80	1593	373
81	1609	353
82	1624	332
83	1640	312
84	1657	292
85	1673	272
86	1687	252
87	1701	232
88	1719	212
89	1738	193
90	1756	173
91	1775	154
92	1790	134
93	1804	115
94	1821	95
95	1837	76
96	1851	57
97	1869	38
98	1885	19
99	1899	0
