game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241122_Akron_Lamar,2024-11-22,Akron,Lamar,145.0,146.0,145.5,142.4,151,0.3773,0.1784,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Alabama A&M_South Carolina St.,2024-11-22,Alabama A&M,South Carolina St.,147.0,148.0,147.4,150.0,152,0.7246,0.8508,MyBookie,-109.0,1.92,9.2,Betonline,-110.0,1.909,9.09
20241122_Alabama St._Nebraska Omaha,2024-11-22,Alabama St.,Nebraska Omaha,142.5,142.0,142.3,144.0,152,0.6126,0.5826,MyBookie,-109.0,1.916,9.16,Betonline,-110.0,1.909,9.09
20241122_Alcorn St._Washington,2024-11-22,Alcorn St.,Washington,141.0,141.0,141.3,142.7,137,0.6272,0.5674,MyBookie,-108.0,1.922,9.22,Betonline,-110.0,1.909,9.09
20241122_American_UMKC,2024-11-22,American,UMKC,134.5,133.5,134.2,133.6,124,0.4242,0.3217,MyBookie,-108.0,1.925,9.25,Betonline,-110.0,1.909,9.09
20241122_Arizona_Duke,2024-11-22,Arizona,Duke,160.5,160.0,160.4,164.4,124,0.7651,0.929,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.918,9.18
20241122_Arkansas_Little Rock,2024-11-22,Arkansas,Little Rock,144.0,143.0,143.8,144.2,146,0.513,0.3792,MyBookie,-109.0,1.915,9.15,Bovada,-105.0,1.952,9.52
20241122_Army_Manhattan,2024-11-22,Army,Manhattan,142.5,142.0,142.4,138.9,159,0.237,0.0276,MyBookie,-110.0,1.909,9.09,MyBookie,-110.0,1.909,9.09
20241122_Baylor_Tennessee,2024-11-22,Baylor,Tennessee,143.5,143.5,144.0,140.8,139,0.2905,0.0795,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_Bradley_Wright St.,2024-11-22,Bradley,Wright St.,150.0,150.0,149.8,150.2,151,0.5178,0.2918,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.93,9.3
20241122_Buffalo_Morgan St.,2024-11-22,Buffalo,Morgan St.,159.0,159.0,158.8,151.8,155,0.1264,0.0082,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Butler_Merrimack,2024-11-22,Butler,Merrimack,135.0,134.5,134.7,138.2,117,0.739,0.7937,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Cal St. Bakersfield_Florida Gulf Coast,2024-11-22,Cal St. Bakersfield,Florida Gulf Coast,131.5,131.5,131.6,133.2,128,0.6346,0.6268,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Cal St. Fullerton_UCLA,2024-11-22,Cal St. Fullerton,UCLA,133.5,134.0,133.6,132.5,127,0.4264,0.3266,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Campbell_Ohio St.,2024-11-22,Campbell,Ohio St.,143.0,143.5,143.3,144.9,164,0.6543,0.677,MyBookie,-109.0,1.918,9.18,Betonline,-110.0,1.909,9.09
20241122_Chicago St._Indiana St.,2024-11-22,Chicago St.,Indiana St.,154.0,154.0,154.2,154.2,158,0.5178,0.3749,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Coastal Carolina_IU Indy,2024-11-22,Coastal Carolina,IU Indy,137.0,137.0,137.1,139.1,128,0.663,0.6986,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241122_Colgate_Harvard,2024-11-22,Colgate,Harvard,141.0,141.0,141.2,142.2,145,0.6013,0.5332,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Colorado St._UC Riverside,2024-11-22,Colorado St.,UC Riverside,144.0,145.0,144.4,144.4,152,0.5339,0.381,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Creighton_Nebraska,2024-11-22,Creighton,Nebraska,150.5,150.5,150.8,152.2,137,0.6357,0.5664,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Davidson_VMI,2024-11-22,Davidson,VMI,147.5,148.0,147.7,145.2,159,0.4009,0.2156,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
20241122_Drake_Florida Atlantic,2024-11-22,Drake,Florida Atlantic,147.0,146.5,146.8,147.5,138,0.5375,0.4254,Bovada,-105.0,1.952,9.52,MyBookie,-110.0,1.913,9.13
20241122_Drexel_Fordham,2024-11-22,Drexel,Fordham,137.5,137.5,137.4,138.5,144,0.5689,0.658,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_East Carolina_Stetson,2024-11-22,East Carolina,Stetson,143.5,143.5,143.5,141.2,135,0.3241,0.1507,MyBookie,-110.0,1.909,9.09,MyBookie,-109.0,1.915,9.15
20241122_Elon_Notre Dame,2024-11-22,Elon,Notre Dame,142.5,142.5,142.2,143.5,161,0.586,0.4721,MyBookie,-110.0,1.913,9.13,MyBookie,-110.0,1.913,9.13
20241122_Evansville_Green Bay,2024-11-22,Evansville,Green Bay,151.0,151.0,151.0,156.3,179,0.8453,0.9628,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_FIU_Northeastern,2024-11-22,FIU,Northeastern,153.0,152.5,152.8,155.6,118,0.6821,0.7725,Betonline,-107.0,1.935,9.35,Bovada,-110.0,1.909,9.09
20241122_Florida St._Temple,2024-11-22,Florida St.,Temple,148.5,148.5,148.5,151.2,147,0.7065,0.8504,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Florida_Southern Illinois,2024-11-22,Florida,Southern Illinois,156.5,157.5,156.5,158.0,161,0.6211,0.5093,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241122_George Washington_Kansas St.,2024-11-22,George Washington,Kansas St.,148.5,148.5,148.5,147.4,154,0.4159,0.37,Bovada,-110.0,1.909,9.09,Betonline,-108.0,1.926,9.26
20241122_Georgia St._North Carolina Central,2024-11-22,Georgia St.,North Carolina Central,147.5,147.0,147.4,148.2,172,0.5506,0.5695,MyBookie,-110.0,1.912,9.12,Betonline,-110.0,1.909,9.09
20241122_Grand Canyon_Norfolk St.,2024-11-22,Grand Canyon,Norfolk St.,145.0,145.5,145.1,143.2,164,0.364,0.1161,Betonline,-110.0,1.909,9.09,MyBookie,-110.0,1.911,9.11
20241122_Hawaii_North Carolina,2024-11-22,Hawaii,North Carolina,152.0,151.0,151.4,154.8,156,0.7173,0.7675,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Hofstra_Houston,2024-11-22,Hofstra,Houston,131.5,132.5,131.8,131.4,124,0.4932,0.4102,Betonline,-110.0,1.909,9.09,Bovada,100.0,2.0,10.0
20241122_Houston Christian_Rice,2024-11-22,Houston Christian,Rice,141.0,140.5,140.7,143.2,119,0.6608,0.8162,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Illinois Chicago_La Salle,2024-11-22,Illinois Chicago,La Salle,148.0,149.0,148.2,147.3,179,0.4448,0.2624,Betonline,-110.0,1.909,9.09,MyBookie,-108.0,1.922,9.22
