game_id,date,team_1,team_2,betonline_line,bovada_line,mybookie_line,predicted_total,actual_total,confidence,good_bet_score,over_best_book,over_odds_american,over_odds_decimal,over_potential_profit,under_best_book,under_odds_american,under_odds_decimal,under_potential_profit
20241122_Alabama A&M_South Carolina St.,2024-11-22,Alabama A&M,South Carolina St.,147.0,148.0,147.4,148.1,152,0.5826,0.517,MyBookie,-109.0,1.92,9.2,Betonline,-110.0,1.909,9.09
20241122_Alabama St._Nebraska Omaha,2024-11-22,Alabama St.,Nebraska Omaha,142.5,142.0,142.3,146.5,152,0.7861,0.9298,MyBookie,-109.0,1.916,9.16,Betonline,-110.0,1.909,9.09
20241122_Arkansas_Little Rock,2024-11-22,Arkansas,Little Rock,144.0,143.0,143.8,144.6,146,0.5509,0.5241,MyBookie,-109.0,1.915,9.15,Bovada,-105.0,1.952,9.52
20241122_Butler_Merrimack,2024-11-22,Butler,Merrimack,135.0,134.5,134.7,137.2,117,0.6763,0.6826,Betonline,-105.0,1.952,9.52,Bovada,-110.0,1.909,9.09
20241122_Cal St. Bakersfield_Florida Gulf Coast,2024-11-22,Cal St. Bakersfield,Florida Gulf Coast,131.5,131.5,131.6,132.9,128,0.6111,0.5835,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
20241122_Cal St. Fullerton_UCLA,2024-11-22,Cal St. Fullerton,UCLA,133.5,134.0,133.6,134.0,127,0.5417,0.5494,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_Campbell_Ohio St.,2024-11-22,Campbell,Ohio St.,143.0,143.5,143.3,144.6,164,0.6248,0.5932,MyBookie,-109.0,1.918,9.18,Betonline,-110.0,1.909,9.09
20241122_Coastal Carolina_IU Indy,2024-11-22,Coastal Carolina,IU Indy,137.0,137.0,137.1,139.5,128,0.6983,0.8047,Betonline,-110.0,1.909,9.09,Bovada,-105.0,1.952,9.52
20241122_Drake_Florida Atlantic,2024-11-22,Drake,Florida Atlantic,147.0,146.5,146.8,149.7,138,0.6672,0.7165,Bovada,-105.0,1.952,9.52,MyBookie,-110.0,1.913,9.13
20241122_Drexel_Fordham,2024-11-22,Drexel,Fordham,137.5,137.5,137.4,140.3,144,0.7153,0.8456,MyBookie,-109.0,1.919,9.19,Betonline,-110.0,1.909,9.09
20241122_Evansville_Green Bay,2024-11-22,Evansville,Green Bay,151.0,151.0,151.0,154.7,179,0.7534,0.8571,Bovada,-110.0,1.909,9.09,Betonline,-105.0,1.952,9.52
20241122_FIU_Northeastern,2024-11-22,FIU,Northeastern,153.0,152.5,152.8,154.2,118,0.5708,0.6344,Betonline,-107.0,1.935,9.35,Bovada,-110.0,1.909,9.09
20241122_Florida St._Temple,2024-11-22,Florida St.,Temple,148.5,148.5,148.5,150.7,147,0.6662,0.7736,MyBookie,-110.0,1.912,9.12,MyBookie,-110.0,1.912,9.12
20241122_Florida_Southern Illinois,2024-11-22,Florida,Southern Illinois,156.5,157.5,156.5,159.8,161,0.7463,0.8069,MyBookie,-109.0,1.915,9.15,MyBookie,-110.0,1.909,9.09
20241122_Hawaii_North Carolina,2024-11-22,Hawaii,North Carolina,152.0,151.0,151.4,153.4,156,0.6108,0.5186,Betonline,-110.0,1.909,9.09,MyBookie,-109.0,1.916,9.16
