game_id,date,team,home_away,model_win_prob,best_odds,actual_winner
20201129_Rhode Island_San Francisco,2020-11-29,Rhode Island,NEUTRAL,0.5407,-106,Rhode Island
20201129_Rhode Island_San Francisco,2020-11-29,San Francisco,NEUTRAL,0.4593,-112,NO
20201201_Hartford_Villanova,2020-12-01,Hartford,NEUTRAL,0.2165,-100000,NO
20201201_Hartford_Villanova,2020-12-01,Villanova,NEUTRAL,0.7835,3000,Villanova
20201201_Louisville_Western Kentucky,2020-12-01,Louisville,HOME,0.5665,-182,Louisville
20201201_Louisville_Western Kentucky,2020-12-01,Western Kentucky,AWAY,0.4335,165,NO
20201201_Nicholls St._Saint Mary's,2020-12-01,Nicholls St.,AWAY,0.2359,660,NO
20201201_Nicholls St._Saint Mary's,2020-12-01,Saint Mary's,HOME,0.7641,-1000,Saint Mary's
20201202_Alabama_Providence,2020-12-02,Alabama,NEUTRAL,0.5274,-118,Alabama
20201202_Alabama_Providence,2020-12-02,Providence,NEUTRAL,0.4726,100,NO
20201202_Davidson_UNLV,2020-12-02,Davidson,NEUTRAL,0.6208,280,Davidson
20201202_Davidson_UNLV,2020-12-02,UNLV,NEUTRAL,0.3792,-345,NO
20201202_Iowa St._South Dakota St.,2020-12-02,Iowa St.,HOME,0.4390,-159,NO
20201202_Iowa St._South Dakota St.,2020-12-02,South Dakota St.,AWAY,0.5610,138,South Dakota St.
20201202_Nevada_San Francisco,2020-12-02,Nevada,HOME,0.5276,-141,NO
20201202_Nevada_San Francisco,2020-12-02,San Francisco,AWAY,0.4724,125,San Francisco
20201202_North Carolina_Texas,2020-12-02,North Carolina,NEUTRAL,0.4756,-105,NO
20201202_North Carolina_Texas,2020-12-02,Texas,NEUTRAL,0.5244,-110,Texas
20201203_Chicago St._Eastern Illinois,2020-12-03,Chicago St.,AWAY,0.2165,3000,NO
20201203_Chicago St._Eastern Illinois,2020-12-03,Eastern Illinois,HOME,0.7835,-100000,Eastern Illinois
20201203_Liberty_Saint Francis,2020-12-03,Liberty,HOME,0.7269,-769,Liberty
20201203_Liberty_Saint Francis,2020-12-03,Saint Francis,AWAY,0.2731,530,NO
20201203_Saint Mary's_Texas Southern,2020-12-03,Saint Mary's,HOME,0.7745,-2000,Saint Mary's
20201203_Saint Mary's_Texas Southern,2020-12-03,Texas Southern,AWAY,0.2255,1100,NO
20201204_Bradley_South Dakota St.,2020-12-04,Bradley,HOME,0.5387,-110,NO
20201204_Bradley_South Dakota St.,2020-12-04,South Dakota St.,AWAY,0.4613,102,South Dakota St.
20201204_FIU_Jacksonville St.,2020-12-04,FIU,HOME,0.6050,-286,FIU
20201204_FIU_Jacksonville St.,2020-12-04,Jacksonville St.,AWAY,0.3950,234,NO
20201204_Marquette_Wisconsin,2020-12-04,Marquette,HOME,0.5029,310,Marquette
20201204_Marquette_Wisconsin,2020-12-04,Wisconsin,AWAY,0.4971,-179,NO
20201204_Oregon_Seton Hall,2020-12-04,Oregon,NEUTRAL,0.4372,-156,Oregon
20201204_Oregon_Seton Hall,2020-12-04,Seton Hall,NEUTRAL,0.5628,140,NO
20201204_Texas Tech_Troy,2020-12-04,Texas Tech,HOME,0.7807,-100000,Texas Tech
20201204_Texas Tech_Troy,2020-12-04,Troy,AWAY,0.2193,3000,NO
20201204_Tulsa_UT Arlington,2020-12-04,Tulsa,HOME,0.3817,-294,Tulsa
20201204_Tulsa_UT Arlington,2020-12-04,UT Arlington,AWAY,0.6183,270,NO
20201205_Arkansas_Lipscomb,2020-12-05,Arkansas,HOME,0.7807,-2000,Arkansas
20201205_Arkansas_Lipscomb,2020-12-05,Lipscomb,AWAY,0.2193,1300,NO
20201205_BYU_Utah St.,2020-12-05,BYU,AWAY,0.5177,105,BYU
