iter	Passed	Remaining
0	145	290626
1	148	148523
2	151	101048
3	156	78257
4	160	64012
5	163	54389
6	168	48024
7	171	42786
8	175	38725
9	179	35756
10	182	33061
11	186	30820
12	190	29156
13	194	27526
14	213	28200
15	218	27037
16	221	25813
17	224	24739
18	229	23951
19	233	23083
20	236	22289
21	241	21679
22	244	21002
23	247	20376
24	252	19919
25	255	19371
26	258	18908
27	263	18541
28	266	18108
29	269	17705
30	274	17427
31	277	17079
32	281	16752
33	285	16524
34	288	16213
35	291	15929
36	296	15734
37	299	15467
38	302	15227
39	306	15003
40	311	14862
41	314	14646
42	317	14444
43	322	14319
44	325	14125
45	328	13947
46	331	13773
47	336	13668
48	339	13508
49	342	13356
50	347	13263
51	350	13122
52	353	12980
53	357	12899
54	361	12773
55	364	12645
56	368	12574
57	372	12458
58	375	12341
59	379	12274
60	382	12170
61	386	12076
62	391	12025
63	394	11939
64	398	11854
65	402	11801
66	405	11707
67	408	11617
68	413	11574
69	416	11493
70	419	11409
71	424	11367
72	427	11289
73	430	11216
74	435	11175
75	438	11102
76	441	11036
77	446	11000
78	449	10931
79	452	10862
80	456	10825
81	460	10760
82	463	10696
83	467	10666
84	470	10608
85	473	10548
86	478	10515
87	481	10453
88	484	10398
89	488	10370
90	491	10317
91	494	10262
92	499	10238
93	502	10189
94	505	10141
95	510	10122
96	513	10077
97	533	10356
98	538	10338
99	541	10286
100	544	10239
101	549	10224
102	552	10178
103	555	10135
104	560	10114
105	578	10343
106	582	10300
107	587	10284
108	590	10237
109	593	10194
110	597	10176
111	601	10132
112	604	10091
113	609	10076
114	612	10039
115	616	10007
116	620	9993
117	624	9961
118	628	9935
119	633	9924
120	636	9889
121	640	9854
122	644	9837
123	647	9799
124	650	9762
125	655	9744
126	658	9710
127	661	9677
128	666	9667
129	669	9631
130	672	9597
131	677	9588
132	680	9554
133	683	9522
134	688	9511
135	691	9476
136	694	9444
137	698	9428
138	701	9396
139	705	9368
140	709	9357
141	712	9328
142	716	9300
143	719	9269
144	723	9257
145	726	9229
146	729	9200
147	735	9198
148	738	9170
149	741	9141
150	744	9112
151	748	9103
152	751	9074
153	754	9046
154	759	9034
155	762	9007
156	765	8981
157	769	8969
158	772	8941
159	775	8915
160	779	8905
161	782	8879
162	785	8855
163	790	8847
164	793	8829
165	797	8807
166	801	8799
167	804	8774
168	807	8749
169	810	8725
170	815	8718
171	818	8696
172	821	8672
173	825	8664
174	828	8641
175	831	8619
176	836	8612
177	839	8589
178	842	8568
179	846	8562
180	849	8540
181	852	8519
182	857	8514
183	860	8493
184	863	8473
185	868	8468
186	871	8447
187	874	8428
188	878	8420
189	881	8401
190	884	8381
191	889	8374
192	892	8357
193	895	8336
194	900	8331
195	903	8317
196	906	8298
197	911	8292
198	914	8274
199	917	8259
200	922	8255
201	925	8239
202	929	8224
203	934	8229
204	938	8219
205	942	8207
206	947	8204
207	950	8189
208	954	8176
209	958	8172
210	962	8156
211	965	8140
212	969	8134
213	972	8118
214	975	8100
215	980	8099
216	983	8082
217	986	8066
218	991	8061
219	994	8045
220	997	8028
221	1001	8023
222	1004	8006
223	1007	7990
224	1012	7985
225	1015	7969
226	1018	7954
227	1022	7949
228	1025	7934
229	1029	7921
230	1034	7919
231	1037	7905
232	1040	7892
233	1045	7888
234	1048	7874
235	1051	7860
236	1056	7856
237	1059	7842
238	1062	7830
239	1067	7828
240	1070	7815
241	1073	7801
242	1078	7797
243	1081	7783
244	1084	7770
245	1104	7871
246	1106	7856
247	1109	7841
248	1114	7837
249	1117	7824
250	1120	7809
251	1125	7804
252	1128	7790
253	1131	7775
254	1135	7771
255	1138	7758
256	1141	7745
257	1146	7741
258	1149	7728
259	1152	7714
260	1157	7709
261	1159	7694
262	1163	7681
263	1167	7679
264	1170	7666
265	1174	7653
266	1178	7648
267	1181	7635
268	1184	7624
269	1189	7619
270	1192	7608
271	1196	7598
272	1200	7593
273	1203	7581
274	1206	7569
275	1211	7566
276	1214	7553
277	1217	7540
278	1221	7537
279	1224	7523
280	1228	7514
281	1232	7511
282	1236	7499
283	1239	7487
284	1243	7484
285	1246	7471
286	1249	7460
287	1254	7455
288	1257	7442
289	1260	7429
290	1264	7425
291	1267	7412
292	1270	7399
293	1274	7396
294	1277	7386
295	1281	7375
296	1285	7371
297	1288	7358
298	1291	7347
299	1295	7343
300	1299	7332
301	1302	7321
302	1306	7317
303	1309	7305
304	1312	7294
305	1316	7290
306	1321	7285
307	1325	7279
308	1329	7278
309	1335	7278
310	1350	7333
311	1355	7331
312	1358	7323
313	1362	7315
314	1367	7315
315	1370	7305
316	1374	7297
317	1379	7297
318	1383	7289
319	1387	7282
320	1391	7279
321	1394	7268
322	1398	7258
323	1402	7254
324	1405	7243
325	1408	7233
326	1412	7228
327	1416	7218
328	1419	7208
329	1423	7204
330	1426	7194
331	1430	7184
332	1434	7180
333	1437	7169
334	1440	7161
335	1445	7159
336	1448	7149
337	1451	7139
338	1456	7135
339	1459	7126
340	1462	7115
341	1467	7112
342	1470	7101
343	1473	7091
344	1477	7087
345	1480	7076
346	1483	7066
347	1487	7062
348	1491	7056
349	1494	7046
350	1499	7044
351	1502	7035
352	1505	7025
353	1510	7021
354	1512	7010
355	1515	7000
356	1520	6996
357	1523	6987
358	1526	6977
359	1530	6973
360	1533	6964
361	1536	6954
362	1539	6944
363	1544	6940
364	1547	6930
365	1550	6921
366	1554	6919
367	1557	6908
368	1561	6900
369	1565	6896
370	1568	6886
371	1571	6877
372	1576	6874
373	1579	6866
374	1582	6857
375	1587	6855
376	1590	6846
377	1593	6836
378	1597	6833
379	1600	6825
380	1604	6816
381	1608	6812
382	1611	6804
383	1614	6794
384	1619	6791
385	1621	6782
386	1625	6773
387	1629	6770
388	1632	6760
389	1635	6751
390	1639	6747
391	1642	6739
392	1645	6730
393	1650	6726
394	1653	6717
395	1656	6709
396	1660	6706
397	1663	6697
398	1666	6688
399	1671	6684
400	1674	6676
401	1677	6667
402	1681	6664
403	1684	6655
404	1688	6648
405	1692	6646
